Date,Description,Type,Category,Amount,Balance
2023-01-01,Salary,Credit,Income,50000.0,100000.0
2023-01-01,Medical,Debit,Medical,-2553.0,97447.0
2023-01-01,Utilities,Debit,Utilities,-1837.0,95610.0
2023-01-01,Dining,Debit,Dining,-4824.0,90786.0
2023-01-02,Rent,Debit,Rent,-6426.0,84360.0
2023-01-02,Dining,Debit,Dining,-1464.0,82896.0
2023-01-03,Medical,Debit,Medical,-5209.0,77687.0
2023-01-04,Dining,Debit,Dining,-865.0,76822.0
2023-01-04,Shopping,Debit,Shopping,-1260.0,75562.0
2023-01-04,Utilities,Debit,Utilities,-1849.0,73713.0
2023-01-05,Medical,Debit,Medical,-4286.0,69427.0
2023-01-05,Travel,Debit,Travel,-6183.0,63244.0
2023-01-08,Fuel,Debit,Fuel,-5145.0,58099.0
2023-01-08,Dining,Debit,Dining,-6150.0,51949.0
2023-01-10,Rent,Debit,Rent,-2568.0,49381.0
2023-01-10,Fuel,Debit,Fuel,-614.0,48767.0
2023-01-10,Dining,Debit,Dining,-3098.0,45669.0
2023-01-11,Medical,Debit,Medical,-5606.0,40063.0
2023-01-11,Shopping,Debit,Shopping,-1904.0,38159.0
2023-01-11,Medical,Debit,Medical,-1061.0,37098.0
2023-01-12,Groceries,Debit,Groceries,-5108.0,31990.0
2023-01-13,Shopping,Debit,Shopping,-6957.0,25033.0
2023-01-13,Dining,Debit,Dining,-5769.0,19264.0
2023-01-13,Rent,Debit,Rent,-4049.0,15215.0
2023-01-14,Groceries,Debit,Groceries,-3947.0,11268.0
2023-01-14,Utilities,Debit,Utilities,-1684.0,9584.0
2023-01-15,Medical,Debit,Medical,-3513.0,6071.0
2023-01-15,Fuel,Debit,Fuel,-4222.0,1849.0
2023-01-15,Shopping,Debit,Shopping,-4855.0,-3006.0
2023-01-16,Medical,Debit,Medical,-2449.0,-5455.0
2023-01-17,Dining,Debit,Dining,-6234.0,-11689.0
2023-01-17,Utilities,Debit,Utilities,-6460.0,-18149.0
2023-01-17,Rent,Debit,Rent,-918.0,-19067.0
2023-01-18,Rent,Debit,Rent,-5424.0,-24491.0
2023-01-18,Utilities,Debit,Utilities,-4312.0,-28803.0
2023-01-19,Dining,Debit,Dining,-5106.0,-33909.0
2023-01-19,Dining,Debit,Dining,-2586.0,-36495.0
2023-01-20,Dining,Debit,Dining,-1440.0,-37935.0
2023-01-20,Dining,Debit,Dining,-6338.0,-44273.0
2023-01-21,Fuel,Debit,Fuel,-3708.0,-47981.0
2023-01-22,Groceries,Debit,Groceries,-3452.0,-51433.0
2023-01-22,Utilities,Debit,Utilities,-3685.0,-55118.0
2023-01-23,Groceries,Debit,Groceries,-3085.0,-58203.0
2023-01-24,Rent,Debit,Rent,-3468.0,-61671.0
2023-01-24,Shopping,Debit,Shopping,-2400.0,-64071.0
2023-01-27,Dining,Debit,Dining,-6276.0,-70347.0
2023-01-27,Travel,Debit,Travel,-1074.0,-71421.0
2023-01-28,Rent,Debit,Rent,-6030.0,-77451.0
2023-01-28,Utilities,Debit,Utilities,-4607.0,-82058.0
2023-01-28,Fuel,Debit,Fuel,-822.0,-82880.0
2023-01-30,Utilities,Debit,Utilities,-4260.0,-87140.0
2023-01-31,Fuel,Debit,Fuel,-2041.0,-89181.0
2023-01-31,Groceries,Debit,Groceries,-2832.0,-92013.0
2023-02-01,Salary,Credit,Income,52500.0,-39513.0
2023-02-01,Utilities,Debit,Utilities,-4246.0,-43759.0
2023-02-01,Shopping,Debit,Shopping,-5052.0,-48811.0
2023-02-01,Rent,Debit,Rent,-900.0,-49711.0
2023-02-02,Fuel,Debit,Fuel,-4892.0,-54603.0
2023-02-02,Rent,Debit,Rent,-5966.0,-60569.0
2023-02-03,Fuel,Debit,Fuel,-4019.0,-64588.0
2023-02-03,Rent,Debit,Rent,-168.0,-64756.0
2023-02-05,Rent,Debit,Rent,-801.0,-65557.0
2023-02-05,Rent,Debit,Rent,-1982.0,-67539.0
2023-02-05,Fuel,Debit,Fuel,-1385.0,-68924.0
2023-02-06,Fuel,Debit,Fuel,-5615.0,-74539.0
2023-02-06,Medical,Debit,Medical,-5088.0,-79627.0
2023-02-07,Travel,Debit,Travel,-5354.0,-84981.0
2023-02-08,Dining,Debit,Dining,-255.0,-85236.0
2023-02-08,Travel,Debit,Travel,-6858.0,-92094.0
2023-02-08,Fuel,Debit,Fuel,-1419.0,-93513.0
2023-02-09,Medical,Debit,Medical,-6584.0,-100097.0
2023-02-09,Utilities,Debit,Utilities,-1739.0,-101836.0
2023-02-09,Medical,Debit,Medical,-2105.0,-103941.0
2023-02-10,Shopping,Debit,Shopping,-4357.0,-108298.0
2023-02-10,Shopping,Debit,Shopping,-5683.0,-113981.0
2023-02-11,Groceries,Debit,Groceries,-3988.0,-117969.0
2023-02-12,Medical,Debit,Medical,-3481.0,-121450.0
2023-02-13,Travel,Debit,Travel,-2018.0,-123468.0
2023-02-15,Groceries,Debit,Groceries,-1652.0,-125120.0
2023-02-17,Fuel,Debit,Fuel,-2536.0,-127656.0
2023-02-17,Medical,Debit,Medical,-320.0,-127976.0
2023-02-18,Groceries,Debit,Groceries,-733.0,-128709.0
2023-02-19,Fuel,Debit,Fuel,-6783.0,-135492.0
2023-02-19,Fuel,Debit,Fuel,-5120.0,-140612.0
2023-02-21,Groceries,Debit,Groceries,-6979.0,-147591.0
2023-02-21,Travel,Debit,Travel,-1817.0,-149408.0
2023-02-21,Travel,Debit,Travel,-2973.0,-152381.0
2023-02-22,Medical,Debit,Medical,-3334.0,-155715.0
2023-02-22,Travel,Debit,Travel,-182.0,-155897.0
2023-02-22,Rent,Debit,Rent,-6984.0,-162881.0
2023-02-23,Groceries,Debit,Groceries,-1339.0,-164220.0
2023-02-23,Dining,Debit,Dining,-2929.0,-167149.0
2023-02-25,Utilities,Debit,Utilities,-999.0,-168148.0
2023-02-25,Dining,Debit,Dining,-557.0,-168705.0
2023-02-26,Travel,Debit,Travel,-1410.0,-170115.0
2023-02-26,Rent,Debit,Rent,-995.0,-171110.0
2023-02-26,Groceries,Debit,Groceries,-1215.0,-172325.0
2023-02-28,Rent,Debit,Rent,-5203.0,-177528.0
2023-02-28,Medical,Debit,Medical,-4342.0,-181870.0
2023-02-28,Utilities,Debit,Utilities,-6636.0,-188506.0
2023-03-01,Salary,Credit,Income,55125.0,-133381.0
2023-03-01,Fuel,Debit,Fuel,-1175.0,-134556.0
2023-03-01,Shopping,Debit,Shopping,-5683.0,-140239.0
2023-03-02,Groceries,Debit,Groceries,-4213.0,-144452.0
2023-03-03,Fuel,Debit,Fuel,-6663.0,-151115.0
2023-03-03,Shopping,Debit,Shopping,-3394.0,-154509.0
2023-03-03,Utilities,Debit,Utilities,-6231.0,-160740.0
2023-03-05,Dining,Debit,Dining,-131.0,-160871.0
2023-03-05,Fuel,Debit,Fuel,-2787.0,-163658.0
2023-03-06,Groceries,Debit,Groceries,-2667.0,-166325.0
2023-03-07,Utilities,Debit,Utilities,-6140.0,-172465.0
2023-03-08,Medical,Debit,Medical,-2473.0,-174938.0
2023-03-08,Shopping,Debit,Shopping,-6550.0,-181488.0
2023-03-08,Travel,Debit,Travel,-1337.0,-182825.0
2023-03-10,Groceries,Debit,Groceries,-4352.0,-187177.0
2023-03-10,Fuel,Debit,Fuel,-3817.0,-190994.0
2023-03-10,Shopping,Debit,Shopping,-5539.0,-196533.0
2023-03-11,Shopping,Debit,Shopping,-3764.0,-200297.0
2023-03-14,Fuel,Debit,Fuel,-6619.0,-206916.0
2023-03-14,Dining,Debit,Dining,-4095.0,-211011.0
2023-03-15,Utilities,Debit,Utilities,-5608.0,-216619.0
2023-03-15,Fuel,Debit,Fuel,-2996.0,-219615.0
2023-03-16,Fuel,Debit,Fuel,-4926.0,-224541.0
2023-03-16,Shopping,Debit,Shopping,-396.0,-224937.0
2023-03-17,Shopping,Debit,Shopping,-346.0,-225283.0
2023-03-17,Travel,Debit,Travel,-1021.0,-226304.0
2023-03-18,Medical,Debit,Medical,-5677.0,-231981.0
2023-03-19,Shopping,Debit,Shopping,-6760.0,-238741.0
2023-03-19,Rent,Debit,Rent,-4261.0,-243002.0
2023-03-20,Groceries,Debit,Groceries,-3056.0,-246058.0
2023-03-21,Fuel,Debit,Fuel,-6248.0,-252306.0
2023-03-22,Utilities,Debit,Utilities,-6695.0,-259001.0
2023-03-22,Groceries,Debit,Groceries,-3317.0,-262318.0
2023-03-23,Fuel,Debit,Fuel,-4064.0,-266382.0
2023-03-26,Rent,Debit,Rent,-2867.0,-269249.0
2023-03-27,Dining,Debit,Dining,-3707.0,-272956.0
2023-03-28,Fuel,Debit,Fuel,-3064.0,-276020.0
2023-03-28,Shopping,Debit,Shopping,-930.0,-276950.0
2023-03-28,Fuel,Debit,Fuel,-3031.0,-279981.0
2023-03-29,Utilities,Debit,Utilities,-3221.0,-283202.0
