Date,Narration,Chq/Ref No,Value Date,Withdrawal Amt,Deposit Amt,Closing Balance
01/04/2025,NEFT SALARY APRIL 2025 TECHCORP PVT LTD,,01/04/2025,,95000.00,95000.00
02/04/2025,UPI SWIGGY ORDER FOOD DELIVERY,,02/04/2025,420.00,,94580.00
03/04/2025,UPI NETFLIX SUBSCRIPTION,,03/04/2025,649.00,,93931.00
04/04/2025,NEFT RENT PAYMENT APRIL 2025,,04/04/2025,22000.00,,71931.00
05/04/2025,UPI BIGBASKET GROCERIES,,05/04/2025,1850.00,,70081.00
07/04/2025,UPI ZOMATO FOOD ORDER,,07/04/2025,380.00,,69701.00
08/04/2025,UPI OLA CAB BOOKING,,08/04/2025,220.00,,69481.00
09/04/2025,UPI AMAZON SHOPPING,,09/04/2025,2499.00,,66982.00
10/04/2025,UPI HDFC BROADBAND BILL,,10/04/2025,999.00,,65983.00
11/04/2025,UPI JIOMART GROCERY,,11/04/2025,1200.00,,64783.00
12/04/2025,UPI PETROL PUMP BPCL,,12/04/2025,1500.00,,63283.00
14/04/2025,UPI APOLLO PHARMACY,,14/04/2025,850.00,,62433.00
15/04/2025,UPI SPOTIFY PREMIUM,,15/04/2025,119.00,,62314.00
16/04/2025,UPI METRO CARD RECHARGE,,16/04/2025,500.00,,61814.00
17/04/2025,UPI CULT FITNESS GYM,,17/04/2025,2500.00,,59314.00
18/04/2025,UPI FLIPKART SHOPPING,,18/04/2025,3200.00,,56114.00
19/04/2025,NEFT FREELANCE PROJECT PAYMENT,,19/04/2025,,18000.00,74114.00
20/04/2025,UPI ELECTRICITY BILL BESCOM,,20/04/2025,1800.00,,72314.00
21/04/2025,UPI SWIGGY FOOD ORDER,,21/04/2025,560.00,,71754.00
22/04/2025,UPI MYNTRA SHOPPING,,22/04/2025,1799.00,,69955.00
23/04/2025,UPI HOTSTAR SUBSCRIPTION,,23/04/2025,299.00,,69656.00
24/04/2025,UPI ZOMATO FOOD ORDER,,24/04/2025,310.00,,69346.00
25/04/2025,UPI PETROL PUMP IOCL,,25/04/2025,1200.00,,68146.00
28/04/2025,UPI BIGBASKET GROCERIES,,28/04/2025,2100.00,,66046.00
30/04/2025,UPI OLA CABS BOOKING,,30/04/2025,350.00,,65696.00
01/05/2025,NEFT SALARY MAY 2025 TECHCORP PVT LTD,,01/05/2025,,95000.00,160696.00
02/05/2025,UPI SWIGGY FOOD ORDER,,02/05/2025,480.00,,160216.00
03/05/2025,NEFT RENT PAYMENT MAY 2025,,03/05/2025,22000.00,,138216.00
04/05/2025,UPI NETFLIX SUBSCRIPTION,,04/05/2025,649.00,,137567.00
05/05/2025,UPI AMAZON SHOPPING BOOKS,,05/05/2025,1299.00,,136268.00
06/05/2025,UPI ZOMATO FOOD ORDER,,06/05/2025,450.00,,135818.00
07/05/2025,UPI BIGBASKET GROCERIES,,07/05/2025,2200.00,,133618.00
08/05/2025,UPI APOLLO PHARMACY MEDICINES,,08/05/2025,650.00,,132968.00
09/05/2025,UPI ELECTRICITY BILL BESCOM,,09/05/2025,1950.00,,131018.00
10/05/2025,UPI PETROL PUMP HPCL,,10/05/2025,1400.00,,129618.00
12/05/2025,UPI CULT FITNESS GYM,,12/05/2025,2500.00,,127118.00
13/05/2025,UPI METRO RECHARGE,,13/05/2025,500.00,,126618.00
14/05/2025,UPI MYNTRA FASHION SALE,,14/05/2025,4500.00,,122118.00
15/05/2025,UPI SPOTIFY PREMIUM,,15/05/2025,119.00,,121999.00
16/05/2025,UPI JIOMART GROCERY,,16/05/2025,1800.00,,120199.00
17/05/2025,UPI SWIGGY FOOD,,17/05/2025,390.00,,119809.00
19/05/2025,NEFT FREELANCE PAYMENT CLIENT B,,19/05/2025,,22000.00,141809.00
20/05/2025,UPI HOTSTAR SUBSCRIPTION,,20/05/2025,299.00,,141510.00
22/05/2025,UPI OLA CABS,,22/05/2025,280.00,,141230.00
24/05/2025,UPI FLIPKART APPLIANCE SALE,,24/05/2025,8999.00,,132231.00
26/05/2025,UPI BIGBASKET GROCERIES,,26/05/2025,1900.00,,130331.00
28/05/2025,UPI ZOMATO ORDER,,28/05/2025,520.00,,129811.00
30/05/2025,UPI HDFC BROADBAND,,30/05/2025,999.00,,128812.00
01/06/2025,NEFT SALARY JUNE 2025 TECHCORP PVT LTD,,01/06/2025,,95000.00,223812.00
02/06/2025,NEFT RENT PAYMENT JUNE 2025,,02/06/2025,22000.00,,201812.00
03/06/2025,UPI SWIGGY FOOD ORDER,,03/06/2025,560.00,,201252.00
04/06/2025,UPI NETFLIX SUBSCRIPTION,,04/06/2025,649.00,,200603.00
05/06/2025,UPI AMAZON PRIME DAY SALE,,05/06/2025,5500.00,,195103.00
06/06/2025,NEFT DIVIDEND HDFC EQUITY FUND,,06/06/2025,,8500.00,203603.00
07/06/2025,UPI ELECTRICITY BILL,,07/06/2025,2100.00,,201503.00
08/06/2025,UPI APOLLO PHARMACY,,08/06/2025,920.00,,200583.00
09/06/2025,UPI BIGBASKET GROCERIES,,09/06/2025,2400.00,,198183.00
10/06/2025,UPI PETROL BPCL,,10/06/2025,1600.00,,196583.00
11/06/2025,UPI CULT GYM FEE,,11/06/2025,2500.00,,194083.00
12/06/2025,UPI ZOMATO FOOD,,12/06/2025,430.00,,193653.00
13/06/2025,UPI SPOTIFY,,13/06/2025,119.00,,193534.00
14/06/2025,UPI MYNTRA SHOPPING,,14/06/2025,2999.00,,190535.00
16/06/2025,UPI METRO CARD,,16/06/2025,500.00,,190035.00
17/06/2025,UPI JIOMART GROCERY,,17/06/2025,1700.00,,188335.00
18/06/2025,UPI HOTSTAR,,18/06/2025,299.00,,188036.00
19/06/2025,UPI SWIGGY ORDER,,19/06/2025,370.00,,187666.00
20/06/2025,UPI OLA CAB,,20/06/2025,310.00,,187356.00
22/06/2025,UPI FLIPKART ORDER,,22/06/2025,3199.00,,184157.00
24/06/2025,UPI HDFC BROADBAND,,24/06/2025,999.00,,183158.00
26/06/2025,UPI BIGBASKET WEEKLY,,26/06/2025,2000.00,,181158.00
28/06/2025,UPI ZOMATO ORDER,,28/06/2025,480.00,,180678.00
01/07/2025,NEFT SALARY JULY 2025 TECHCORP PVT LTD,,01/07/2025,,95000.00,275678.00
01/07/2025,NEFT RENT PAYMENT JULY 2025,,01/07/2025,22000.00,,253678.00
02/07/2025,UPI AMAZON SHOPPING,,02/07/2025,1899.00,,251779.00
03/07/2025,UPI NETFLIX,,03/07/2025,649.00,,251130.00
04/07/2025,UPI SWIGGY,,04/07/2025,490.00,,250640.00
05/07/2025,UPI BIGBASKET GROCERIES,,05/07/2025,2300.00,,248340.00
06/07/2025,UPI PETROL IOCL,,06/07/2025,1500.00,,246840.00
07/07/2025,UPI ELECTRICITY TATA POWER,,07/07/2025,2200.00,,244640.00
08/07/2025,UPI CULT FITNESS,,08/07/2025,2500.00,,242140.00
